Date,Days elapsed,Nemas Added,Recovered (mL),Average in 100 uL,Average in 1 mL,Observed Recovery,Estimated Recovery ,Estimated % Recovery
7/17/2023,0,410,17,2.6,26,442,702,171%
7/17/2023,0,410,11,1.6,16,176,279,68%
7/17/2023,0,410,15,1,10,150,238,58%
7/17/2023,0,410,13,1.8,18,234,371,91%
7/31/2023,0,304,14.5,1.6,16,232,368,121%
7/31/2023,0,304,15.5,1,10,155,246,81%
7/31/2023,0,304,16,1.2,12,192,305,100%
9/13/2023,0,510,21,1.6,16,336,533,105%
9/13/2023,0,510,23.5,1.2,12,282,448,88%
9/13/2023,0,510,20.5,1.2,12,246,390,77%
9/13/2023,0,510,21,1.4,14,294,467,92%
7/18/2023,1c,0,15,0,0,0,0,0%
7/18/2023,1c,0,13.5,0,0,0,0,0%
7/18/2023,1c,0,13,0,0,0,0,0%
8/1/2023,1c,0,14,0,0,0,0,0%
9/14/2023,1c,0,22.5,0,0,0,0,0%
7/18/2023,1,410,14,1,10,140,222,54%
7/18/2023,1,410,13.5,1.4,14,189,300,73%
7/18/2023,1,410,14,1.2,12,168,267,65%
7/18/2023,1,410,15,0.8,8,120,190,46%
7/6/2023,1,421,13,1.4,14,182,289,69%
7/6/2023,1,421,13.4,0.6,6,80,128,30%
7/6/2023,1,421,10.6,1.4,14,148,236,56%
7/6/2023,1,421,10,2,20,200,317,75%
8/1/2023,1,304,13.5,0.8,8,108,171,56%
8/1/2023,1,304,16,1,10,160,254,84%
8/1/2023,1,304,15,0.6,6,90,143,47%
9/14/2023,1,510,24,2,20,480,762,149%
9/14/2023,1,510,24.5,2,20,490,778,153%
9/14/2023,1,510,21,1.6,16,336,533,105%
9/14/2023,1,510,21,1.4,14,294,467,92%
7/19/2023,2c,0,17,0,0,0,0,0%
7/19/2023,2c,0,15,0,0,0,0,0%
7/19/2023,2c,0,12,0,0,0,0,0%
8/2/2023,2c,0,16.5,0,0,0,0,0%
9/15/2023,2c,0,22.5,0,0,0,0,0%
7/19/2023,2,410,16.5,1.6,16,264,419,102%
7/19/2023,2,410,16,0.8,8,128,203,50%
7/19/2023,2,410,13,1.2,12,156,248,60%
7/19/2023,2,410,16.5,2,20,330,524,128%
7/7/2023,2,421,14.4,1.2,12,173,274,65%
7/7/2023,2,421,16.4,0.8,8,131,208,49%
7/7/2023,2,421,11.8,1,10,118,187,44%
7/7/2023,2,421,13,1.6,16,208,330,78%
8/2/2023,2,304,16,1,10,160,254,84%
8/2/2023,2,304,18,0.4,4,72,114,38%
8/2/2023,2,304,19,0.6,6,114,181,60%
9/15/2023,2,510,25,1.2,12,300,476,93%
9/15/2023,2,510,21,1,10,210,333,65%
9/15/2023,2,510,22,1.8,18,396,629,123%
9/15/2023,2,510,21,0.8,8,168,267,52%
7/20/2023,3c,0,14,0,0,0,0,0%
7/20/2023,3c,0,14,0,0,0,0,0%
7/20/2023,3c,0,15,0,0,0,0,0%
8/3/2023,3c,0,18,0,0,0,0,0%
9/16/2023,3c,0,19,0,0,0,0,0%
7/8/2023,3,421,11,1,10,110,175,41%
7/8/2023,3,421,14.2,1,10,142,225,54%
7/8/2023,3,421,14.8,0.6,6,89,141,33%
7/8/2023,3,421,9.4,1,10,94,149,35%
7/20/2023,3,410,15,2.2,22,330,524,128%
7/20/2023,3,410,14,1,10,140,222,54%
7/20/2023,3,410,15,0.4,4,60,95,23%
7/20/2023,3,410,15,0.6,6,90,143,35%
8/3/2023,3,304,16.5,0.4,4,66,105,34%
8/3/2023,3,304,17.5,0.4,4,70,111,37%
8/3/2023,3,304,17,0.4,4,68,108,36%
9/16/2023,3,510,20,0.6,6,120,190,37%
9/16/2023,3,510,23,1,10,230,365,72%
9/16/2023,3,510,21,1,10,210,333,65%
9/16/2023,3,510,22.5,1.6,16,360,571,112%
7/21/2023,4c,0,10,0,0,0,0,0%
7/21/2023,4c,0,13,0,0,0,0,0%
7/21/2023,4c,0,12,0,0,0,0,0%
8/4/2023,4c,0,16,0,0,0,0,0%
9/17/2023,4c,0,22,0,0,0,0,0%
7/9/2023,4,421,13.6,1.6,16,218,345,82%
7/9/2023,4,421,12.6,1,10,126,200,48%
7/9/2023,4,421,12.4,1.6,16,198,315,75%
7/9/2023,4,421,14.8,1.4,14,207,329,78%
7/21/2023,4,410,14,1,10,140,222,54%
7/21/2023,4,410,14.5,0.6,6,87,138,34%
7/21/2023,4,410,19,0.6,6,114,181,44%
7/21/2023,4,410,12,0.8,8,96,152,37%
8/4/2023,4,304,17,0.6,6,102,162,53%
8/4/2023,4,304,16,0.8,8,128,203,67%
8/4/2023,4,304,15,1,10,150,238,78%
9/17/2023,4,510,20,0.8,8,160,254,50%
9/17/2023,4,510,23,1.2,12,276,438,86%
9/17/2023,4,510,20,0.4,4,80,127,25%
9/17/2023,4,510,20,1.8,18,360,571,112%
7/22/2023,5c,0,14,0,0,0,0,0%
7/22/2023,5c,0,14,0,0,0,0,0%
7/22/2023,5c,0,16,0,0,0,0,0%
8/5/2023,5c,0,14,0,0,0,0,0%
9/19/2023,5c,0,21,0,0,0,0,0%
7/10/2023,5,421,13.6,0.2,2,27,43,10%
7/10/2023,5,421,13.8,0.6,6,83,131,31%
7/10/2023,5,421,14.2,1.6,16,227,361,86%
7/10/2023,5,421,14.8,0.4,4,59,94,22%
7/22/2023,5,410,13,0.4,4,52,83,20%
7/22/2023,5,410,13.5,0.4,4,54,86,21%
7/22/2023,5,410,15,0.4,4,60,95,23%
7/22/2023,5,410,16,0.2,2,32,51,12%
8/5/2023,5,304,15,0,0,0,0,0%
8/5/2023,5,304,15,0.2,2,30,48,16%
9/19/2023,5,510,21,0.8,8,168,267,52%
9/19/2023,5,510,20,0.4,4,80,127,25%
9/19/2023,5,510,20,0.6,6,120,190,37%
9/19/2023,5,510,23.5,1,10,235,373,73%
8/5/2023,5,304,15.5,0.2,2,31,49,16%
7/23/2023,6c,0,16,0,0,0,0,0%
7/23/2023,6c,0,13,0,0,0,0,0%
7/23/2023,6c,0,19,0,0,0,0,0%
8/6/2023,6c,0,18.5,0,0,0,0,0%
9/20/2023,6c,0,21,0,0,0,0,0%
7/11/2023,6,421,13.4,0,0,0,0,0%
7/11/2023,6,421,16.6,0.2,2,33,53,13%
7/11/2023,6,421,13.2,0,0,0,0,0%
7/11/2023,6,421,15,0.2,2,30,48,11%
7/23/2023,6,410,16.5,0.2,2,33,52,13%
7/23/2023,6,410,14,0,0,0,0,0%
7/23/2023,6,410,13,0,0,0,0,0%
7/23/2023,6,410,12,0,0,0,0,0%
8/6/2023,6,304,20,0,0,0,0,0%
8/6/2023,6,304,17,0.2,2,34,54,18%
8/6/2023,6,304,20,0,0,0,0,0%
9/20/2023,6,510,21,0.6,6,126,200,39%
9/20/2023,6,510,23,0.4,4,92,146,29%
9/20/2023,6,510,21.5,0.6,6,129,205,40%
9/20/2023,6,510,26,0.8,8,208,330,65%
7/24/2023,7c,0,12.5,0,0,0,0,0%
7/24/2023,7c,0,12,0,0,0,0,0%
7/24/2023,7c,0,14,0,0,0,0,0%
8/7/2023,7c,0,19.5,0,0,0,0,0%
9/20/2023,7c,0,22.5,0,0,0,0,0%
7/12/2023,7,421,13.8,0.8,8,110,175,42%
7/12/2023,7,421,11,0.8,8,88,140,33%
7/12/2023,7,421,11.4,0.6,6,68,109,26%
7/12/2023,7,421,13.2,0.4,4,53,84,20%
7/24/2023,7,410,13,0.4,4,52,83,20%
7/24/2023,7,410,15,0,0,0,0,0%
7/24/2023,7,410,13,0.2,2,26,41,10%
7/24/2023,7,410,15.5,0,0,0,0,0%
8/7/2023,7,304,20,0,0,0,0,0%
8/7/2023,7,304,21,0.2,2,42,67,22%
8/7/2023,7,304,18,0.4,4,72,114,38%
9/20/2023,7,510,23,0.2,2,46,73,14%
9/20/2023,7,510,20,0.2,2,40,63,12%
9/20/2023,7,510,22,0.2,2,44,70,14%
9/20/2023,7,510,21,0.2,2,42,67,13%
7/25/2023,8c,0,17,0,0,0,0,0%
7/25/2023,8c,0,15.5,0,0,0,0,0%
7/25/2023,8c,0,15,0,0,0,0,0%
8/8/2023,8c,0,21,0,0,0,0,0%
9/21/2023,8c,0,20,0,0,0,0,0%
7/13/2023,8,421,11.2,0.4,4,45,71,17%
7/13/2023,8,421,11,0.4,4,44,70,17%
7/13/2023,8,421,11.6,0.2,2,23,37,9%
7/13/2023,8,421,11.4,0.2,2,23,36,9%
7/25/2023,8,410,14.5,0,0,0,0,0%
7/25/2023,8,410,12.5,0.2,2,25,40,10%
7/25/2023,8,410,15.5,0.2,2,31,49,12%
7/25/2023,8,410,15,0,0,0,0,0%
8/8/2023,8,304,21,0,0,0,0,0%
8/8/2023,8,304,23,0,0,0,0,0%
8/8/2023,8,304,20,0.6,6,120,190,63%
9/21/2023,8,510,21,0.2,2,42,67,13%
9/21/2023,8,510,23,0.2,2,46,73,14%
9/21/2023,8,510,21,0,0,0,0,0%
9/21/2023,8,510,22,0,0,0,0,0%
7/26/2023,9c,0,13,0,0,0,0,0%
7/26/2023,9c,0,13,0,0,0,0,0%
7/26/2023,9c,0,15,0,0,0,0,0%
8/9/2023,9c,0,21,0,0,0,0,0
7/14/2023,9,421,12.4,0,0,0,0,0%
7/14/2023,9,421,12.8,0.2,2,26,41,10%
7/14/2023,9,421,13.4,0.2,2,27,43,10%
7/14/2023,9,421,14.4,0.4,4,58,91,22%
7/26/2023,9,410,16,0.2,2,32,51,12%
7/26/2023,9,410,15,0,0,0,0,0%
7/26/2023,9,410,15,0.2,2,30,48,12%
7/26/2023,9,410,14,0,0,0,0,0%
8/9/2023,9,304,19,0.2,2,38,60,20%
8/9/2023,9,304,18,0,0,0,0,0%
8/9/2023,9,304,18,0.2,2,36,57,19%
